;Asset1;Asset2;Asset3;Asset4;Asset5;Asset6;Asset7;Asset8;Asset9;Asset10;Asset11;Asset12;Asset13;Asset14;Asset15
38;109.64;101.33;132.55;114.37;105.55;103.47;104.64;108.32;97.23;99.56;104.84;103.67;103.55;90.12;101.89
39;111.16;101.33;132.42;115.74;106.19;104.62;103.83;108.12;97.19;100.16;105.13;103.62;103.9;92.65;101.63
40;111.35;101.17;131.62;115.64;106.18;104.49;103.22;107.91;97.31;100.01;104.56;102.76;104.69;94.35;101.48
41;111.5;101.49;128.57;115.47;106.47;104.71;103.28;107.62;97.52;100.67;104.75;101.77;104.09;94.77;100.65
42;110.14;101.95;130.57;115.32;106.56;103.97;105.22;107.49;98.41;101.98;104.98;102.22;104.74;97.67;100.44
43;110.75;101.36;130.91;115.62;106.42;104.23;103.11;107.66;97.18;100.77;104.83;101.38;103.91;98.28;100.0
44;110.42;101.59;131.45;114.72;106.32;104.99;102.95;107.61;97.39;100.39;104.77;101.13;103.7;95.3;100.45
45;110.98;101.3;132.52;115.08;106.27;104.66;101.92;107.24;97.09;100.14;104.98;101.86;103.92;97.43;100.26
46;109.84;101.26;130.48;114.21;106.56;103.99;102.28;107.38;97.42;100.65;104.43;102.18;102.67;94.73;100.43
47;109.43;101.23;129.61;113.73;106.76;104.03;100.85;105.64;96.8;100.34;104.28;101.52;102.33;95.87;100.76
48;109.19;101.3;130.67;113.06;107.0;104.36;100.74;105.04;96.59;99.78;104.12;102.33;102.44;96.5;100.52
49;109.77;101.72;130.58;112.93;108.18;104.75;101.11;105.07;97.22;100.5;104.66;101.92;102.55;95.16;101.34
50;108.96;101.75;129.82;112.07;109.07;105.13;100.98;103.78;96.87;100.16;104.46;102.69;101.68;93.88;101.4
51;108.26;101.33;129.21;112.17;109.07;104.78;101.17;103.86;96.45;99.05;104.21;102.25;101.31;90.54;101.76
52;107.59;101.2;133.02;112.84;108.6;105.3;103.15;100.1;96.12;98.69;104.21;102.28;101.72;87.42;101.69
53;107.91;101.49;131.72;113.89;109.05;106.21;102.67;101.23;96.76;99.4;104.64;104.64;102.49;90.01;101.32
54;108.43;100.71;132.96;113.86;108.97;106.9;103.38;101.28;98.03;100.88;104.96;104.36;104.6;90.8;101.76
55;110.59;100.75;131.0;114.56;108.52;107.82;102.04;99.73;97.67;101.32;104.94;105.0;104.21;92.16;100.85
56;110.36;100.68;131.95;111.56;108.66;107.47;101.72;98.34;98.56;102.54;104.71;104.64;103.63;96.46;100.96
57;106.72;97.66;125.38;109.03;107.69;105.34;99.55;96.57;96.12;99.73;102.14;103.47;103.11;92.93;100.69
58;108.22;98.9;127.97;111.47;108.36;107.47;101.87;97.2;96.61;100.7;103.64;102.28;102.4;93.76;100.96
59;105.98;96.82;126.12;114.13;107.5;106.07;101.19;96.59;94.31;97.92;102.1;101.07;102.25;90.95;100.94
60;107.03;96.33;127.23;118.17;107.29;105.55;101.28;96.56;93.64;96.93;102.04;100.68;102.44;88.27;101.16
61;108.36;97.25;132.06;122.18;107.68;106.22;102.53;97.83;94.17;97.99;103.07;100.75;101.82;88.94;100.9
62;108.39;97.02;132.37;121.5;106.35;106.3;103.19;97.62;93.01;96.36;102.68;99.81;101.22;87.16;100.92
63;108.16;96.2;134.12;120.08;106.95;106.87;102.09;97.26;92.78;96.55;102.68;101.23;101.82;87.71;101.71
64;107.92;96.99;132.9;120.07;107.39;106.83;101.92;97.51;91.36;96.22;102.71;101.1;101.84;87.99;101.51
65;110.26;97.58;136.63;120.05;108.0;107.79;102.23;97.85;92.2;98.12;103.83;101.58;102.86;91.84;101.75
66;110.3;98.2;136.96;121.18;108.89;107.97;102.34;98.14;92.46;98.46;104.51;103.89;103.91;93.82;101.39
67;108.9;97.71;136.82;119.16;108.66;106.91;102.45;97.74;92.36;97.72;103.91;103.41;103.66;90.1;101.24
68;108.81;96.56;135.53;119.34;106.29;105.96;101.42;96.88;91.93;97.28;103.02;101.55;103.85;93.03;100.98
69;109.48;97.67;140.17;119.56;107.23;106.42;102.43;96.4;92.13;97.48;103.68;101.33;102.78;90.48;100.88
70;114.38;97.74;140.67;120.47;107.79;107.47;101.66;95.74;96.18;100.6;104.23;102.11;102.28;95.3;101.15
71;115.55;96.53;141.98;118.6;106.08;106.11;100.16;94.51;95.7;99.73;103.26;102.37;102.46;96.88;101.11
72;117.26;96.83;144.34;119.52;107.6;107.12;102.13;97.72;96.6;101.36;104.08;102.48;101.81;97.71;101.15
73;116.62;96.89;144.19;118.96;107.47;107.32;101.97;96.76;96.35;100.9;103.74;102.6;101.47;98.87;101.02
74;115.6;96.43;143.87;119.47;108.4;107.15;101.61;96.42;95.46;99.73;103.23;103.74;98.16;98.62;101.24
75;118.12;96.43;143.73;119.52;110.17;107.96;101.49;96.1;96.29;100.68;103.67;103.44;98.08;100.93;101.23
76;117.95;95.68;141.85;120.41;110.46;107.97;98.22;95.78;96.34;100.63;103.72;103.21;96.88;102.17;101.26
77;116.87;95.06;140.82;120.59;110.85;107.35;97.29;96.11;96.0;100.72;103.38;102.51;96.81;100.89;101.84
78;115.55;94.54;139.3;122.95;111.18;106.26;95.43;96.76;97.11;101.48;102.57;103.02;97.13;102.88;101.87
79;115.69;94.47;139.93;124.05;110.89;106.53;95.53;96.41;96.44;100.6;102.68;102.57;96.98;101.64;102.6
80;114.89;94.05;137.66;123.67;110.25;106.04;96.62;96.26;95.81;99.26;102.37;101.48;97.29;102.17;103.06
81;115.81;94.44;139.01;124.36;109.89;106.79;96.93;96.21;95.78;99.55;102.39;103.0;97.14;101.99;102.71
82;115.31;94.31;138.21;124.28;109.32;106.4;96.61;95.28;95.78;99.82;102.08;102.52;97.24;101.15;103.48
83;115.22;94.73;140.31;124.19;110.19;105.67;97.53;95.55;96.04;100.25;102.7;103.87;97.74;101.86;103.03
84;116.25;94.99;140.02;123.82;111.24;107.26;97.55;95.76;96.48;100.72;102.93;104.14;98.29;104.52;103.39
85;115.45;95.03;142.67;123.76;111.1;106.86;97.33;96.14;96.53;100.32;102.79;104.59;98.11;102.15;103.41
86;115.05;94.73;142.27;123.27;111.47;106.66;96.78;95.46;95.87;99.76;102.78;104.5;98.13;103.0;103.83
87;114.59;94.54;148.95;124.38;112.09;107.72;97.98;97.48;96.19;99.13;103.27;104.88;97.83;102.33;104.29
88;112.58;93.65;151.39;125.02;111.98;106.25;98.22;96.75;95.98;99.24;102.88;104.61;98.6;101.2;104.35
89;112.12;94.37;152.0;122.2;112.51;105.89;98.55;96.74;96.39;99.66;102.7;104.47;98.05;99.62;104.24
90;110.62;93.59;148.89;121.03;112.68;106.11;98.89;96.67;96.2;98.4;102.39;104.44;98.29;100.71;104.01
91;111.78;95.52;148.63;120.23;112.48;106.49;99.11;95.96;93.84;102.25;102.07;104.79;98.88;98.64;104.12
92;111.22;95.13;149.9;120.04;112.72;106.87;99.16;94.75;92.22;103.16;102.06;103.88;98.57;94.92;103.32
93;109.6;94.41;145.45;117.87;112.25;105.72;98.14;93.98;92.58;104.86;101.37;102.98;99.72;94.53;103.42
94;108.09;93.13;144.84;117.98;111.78;104.37;98.35;94.01;92.36;103.79;100.71;101.7;101.3;91.84;102.64
95;108.3;92.44;143.16;116.71;111.29;104.46;98.6;92.85;92.6;103.79;100.26;101.63;100.94;90.46;102.27
96;109.69;92.97;142.34;115.66;110.28;104.09;97.94;91.42;92.5;103.19;100.09;100.85;101.03;89.26;102.22
97;111.61;95.81;150.13;117.33;113.73;106.87;98.82;92.26;94.58;105.23;102.32;102.77;99.09;90.93;102.23
98;112.85;96.17;149.9;118.02;113.98;107.35;98.83;93.9;95.26;105.66;102.7;103.14;98.71;91.11;102.69
99;121.54;96.86;147.37;117.83;119.22;107.82;100.68;94.35;96.31;106.01;103.84;104.67;98.65;91.7;103.0
100;124.54;99.41;142.76;114.54;124.75;106.04;101.1;94.29;97.2;106.16;104.04;104.38;98.1;90.46;103.92
101;125.5;99.73;176.19;112.33;129.41;101.52;99.82;97.7;95.22;104.97;103.89;103.87;94.67;87.75;104.84
102;125.86;100.52;181.56;113.82;129.16;101.77;101.14;97.15;96.94;107.31;104.66;104.51;94.88;92.79;105.57
103;124.4;100.49;193.02;116.88;125.97;103.94;101.1;97.79;95.75;107.77;104.5;103.69;94.84;92.3;105.8
104;123.64;100.65;194.62;116.84;126.98;105.23;97.98;97.18;95.17;107.55;104.99;104.31;94.3;92.0;106.0
105;123.06;100.26;196.66;116.96;126.48;104.9;97.06;96.64;95.22;108.62;104.74;103.77;93.68;92.55;106.83
106;123.8;100.91;195.86;118.73;127.03;106.03;98.23;97.16;96.58;109.6;105.52;104.35;93.77;96.19;107.23
107;124.76;101.92;197.27;118.8;127.81;103.75;99.3;98.13;96.79;110.03;105.75;104.78;93.88;97.29;106.68
108;128.17;102.45;198.24;118.2;128.35;103.28;100.3;97.44;97.06;110.41;105.83;104.34;92.18;97.14;106.73
109;127.68;102.77;198.64;118.79;128.3;104.01;100.87;97.62;97.28;110.41;106.25;104.83;91.33;93.3;107.45
110;126.47;102.15;198.54;118.56;127.47;102.64;100.81;97.22;96.55;109.91;105.69;103.91;92.29;95.36;106.94
111;125.32;101.5;196.72;118.44;128.45;102.73;101.07;97.36;95.92;108.76;105.83;104.85;92.09;91.61;106.85
112;127.35;100.55;194.51;117.44;130.48;100.36;99.74;96.48;97.48;110.97;105.55;105.47;90.76;100.14;106.58
113;128.25;102.61;184.89;116.35;133.12;97.91;100.08;97.53;97.41;112.69;105.18;105.06;90.46;103.42;107.15
114;126.79;102.45;186.6;116.79;132.81;98.28;100.37;97.76;97.19;112.4;105.22;104.33;91.09;104.68;106.43
115;125.87;101.7;193.83;115.95;135.51;100.35;99.04;97.55;97.68;112.65;105.83;105.38;91.01;104.9;107.25
116;126.9;101.89;197.02;116.84;136.21;100.09;99.64;97.06;97.77;112.16;106.19;106.71;90.51;103.16;105.5
117;129.71;103.3;200.56;117.99;136.83;102.94;100.69;98.89;98.34;113.83;107.59;108.15;91.09;100.81;105.86
118;128.29;103.07;197.21;119.14;138.54;102.9;100.32;101.29;98.62;114.56;107.82;109.09;90.68;102.98;105.46
119;127.31;103.89;193.71;121.09;139.14;102.72;99.95;102.65;99.38;115.2;108.46;109.75;89.88;104.31;106.85
120;126.71;104.15;189.0;120.4;137.9;101.89;102.22;103.05;101.59;116.53;108.34;109.68;90.19;107.01;107.6
121;127.96;103.76;192.34;122.41;137.95;102.8;102.4;102.69;103.38;116.8;109.05;110.67;89.67;107.31;106.65
122;124.92;102.97;203.47;122.41;137.9;102.71;101.75;102.19;101.14;115.34;108.16;109.87;90.02;103.38;106.77
123;125.98;102.19;208.24;123.08;139.97;103.19;101.38;102.91;101.49;116.43;108.58;111.02;87.43;103.1;107.94
124;123.38;103.79;211.83;123.24;138.25;101.7;101.23;103.1;101.81;117.45;108.39;111.35;88.01;105.12;108.93
125;123.55;104.34;214.4;123.95;139.04;101.37;102.09;105.06;100.96;117.03;108.61;111.1;88.41;105.57;108.6
126;125.72;105.42;221.87;124.28;140.83;101.71;102.43;105.32;100.98;117.32;109.0;111.73;87.71;105.79;109.06
127;125.03;105.03;223.26;124.39;141.19;101.42;101.6;104.79;100.81;117.28;108.73;111.36;87.68;106.32;109.23
128;125.43;104.8;225.96;123.58;141.42;101.11;99.25;104.17;101.47;118.14;108.53;111.38;87.5;107.25;108.83
129;125.7;105.0;231.6;123.82;141.68;101.44;99.18;104.18;101.29;117.79;108.67;111.49;87.74;107.39;108.73
130;126.0;105.06;247.5;124.61;141.81;101.7;99.41;104.16;101.33;117.59;108.91;111.69;88.16;109.18;108.53
131;124.14;104.4;230.48;124.07;140.78;101.63;98.85;103.49;100.83;117.28;108.0;111.69;88.33;109.5;108.48
132;124.32;104.44;235.08;124.04;139.79;101.67;98.78;103.57;100.89;117.19;107.97;111.47;89.64;108.91;108.95
133;123.59;104.07;225.18;123.08;140.44;101.27;98.58;102.91;100.79;117.08;107.47;112.02;89.15;108.81;107.32
134;125.26;104.37;215.2;123.43;141.97;103.19;97.93;102.67;101.49;117.22;108.38;112.87;89.95;106.0;108.5
135;124.7;104.4;220.22;123.29;142.23;104.03;98.5;102.69;100.37;117.19;109.0;112.87;90.22;107.88;108.92
136;123.94;103.81;214.63;123.92;140.92;105.25;98.71;104.71;98.88;116.69;108.92;112.9;91.45;108.89;108.08
137;123.99;104.11;217.5;125.3;140.94;106.71;97.35;104.66;98.82;116.22;109.3;113.11;90.84;109.36;107.01
138;123.1;103.61;226.32;126.44;141.04;106.11;98.0;103.46;97.19;115.23;108.91;112.6;91.74;105.25;107.76
139;125.04;103.32;224.61;126.57;141.45;105.54;97.31;103.91;95.95;114.35;108.91;112.61;91.8;102.94;107.18
140;126.14;103.65;221.85;127.25;142.51;106.17;97.74;103.83;96.93;115.31;109.22;112.62;92.68;105.83;107.55
141;125.26;103.38;218.22;126.72;141.14;105.62;96.94;104.04;96.41;115.54;108.99;112.05;92.94;107.37;107.09
142;125.91;103.28;218.2;126.5;141.89;105.36;95.74;104.04;96.42;115.76;109.19;113.4;92.66;106.08;106.9
143;124.7;102.99;213.31;127.52;136.74;105.47;97.58;105.29;97.55;115.66;108.86;111.95;93.95;106.3;107.04
144;125.41;102.86;217.19;127.51;137.37;105.9;97.14;105.58;96.34;115.32;109.06;111.81;93.9;103.46;106.1
145;125.48;102.79;221.85;127.28;136.33;106.08;96.44;105.22;94.61;114.97;108.66;111.53;93.09;104.05;106.79
146;127.09;100.55;219.42;127.52;136.93;106.23;95.81;105.57;95.91;114.99;109.03;111.75;93.36;106.18;106.47
147;126.93;97.98;221.7;127.6;137.0;106.63;95.06;104.77;94.88;114.78;108.73;111.07;94.19;106.85;105.93
148;129.32;98.81;226.43;127.49;138.65;108.03;96.13;105.2;95.01;115.75;109.45;111.27;93.82;107.72;105.47
149;131.89;100.02;227.4;129.52;140.79;108.9;95.4;105.5;95.29;116.62;110.33;112.37;92.81;106.85;105.78
150;130.64;99.86;231.32;129.58;141.97;108.04;95.17;105.46;95.58;115.93;110.25;112.13;92.21;108.93;105.55
151;133.01;98.84;235.79;129.59;142.27;108.73;93.65;104.16;95.48;113.19;110.15;111.5;92.1;107.7;106.24
152;130.06;98.67;232.1;129.25;140.79;108.64;94.73;104.93;94.76;111.23;109.49;110.23;92.5;106.6;105.93
153;128.54;97.82;230.33;128.95;138.5;107.35;95.19;105.38;93.67;110.76;109.39;109.4;93.69;106.97;105.98
154;127.8;97.78;240.39;136.82;139.03;107.0;94.46;104.04;92.61;110.41;109.42;110.45;93.46;109.14;105.05
155;126.0;97.75;243.43;136.58;138.44;106.82;95.13;108.08;93.18;111.61;109.49;110.45;94.32;108.45;105.4
156;125.34;97.82;241.3;137.17;142.68;111.73;94.84;108.19;93.28;112.97;110.28;111.17;94.46;109.03;105.46
157;124.79;97.69;247.48;138.45;142.01;111.4;94.7;107.36;93.03;112.38;110.05;110.07;95.35;107.37;105.25
158;125.38;97.36;251.32;139.77;141.92;111.34;95.4;107.67;92.42;110.8;110.07;109.53;95.67;105.67;105.64
159;124.84;96.93;250.22;140.31;140.68;110.44;96.71;108.54;91.81;110.99;110.15;109.81;95.94;106.02;106.28
160;126.25;97.45;245.52;141.33;142.71;111.08;98.52;110.18;92.22;111.66;110.78;111.18;95.74;107.35;106.14
161;129.41;97.88;239.7;141.01;142.38;111.49;97.01;110.85;92.99;112.45;111.18;111.23;95.69;109.09;106.48
162;132.36;98.94;228.64;142.25;144.26;112.2;96.66;110.82;93.53;113.31;111.76;112.61;94.91;107.21;106.87
163;131.8;99.73;229.49;144.1;146.57;112.73;97.93;111.9;93.32;112.99;112.21;112.79;94.88;107.76;107.08
164;133.05;99.96;229.95;144.62;148.26;113.84;97.97;112.78;93.71;113.04;112.77;113.46;95.48;107.58;107.29
165;132.03;100.29;226.26;144.45;148.16;113.67;98.22;113.27;92.74;111.15;112.67;112.87;96.12;108.08;106.99
166;132.83;100.02;226.22;144.85;147.67;113.74;98.94;113.34;92.13;110.79;112.86;112.14;95.94;108.16;106.34
167;131.82;100.52;234.32;145.89;148.94;114.33;101.9;114.03;92.28;112.19;113.54;112.62;95.93;109.5;106.97
168;131.95;99.89;233.96;146.33;149.03;114.18;102.28;113.76;91.19;110.85;113.42;112.79;95.5;108.55;107.65
169;128.39;99.66;212.26;145.71;149.14;114.67;101.7;113.33;92.15;111.49;113.47;112.68;96.91;110.29;107.53
170;128.3;100.22;214.31;145.85;147.83;115.0;103.25;114.43;91.36;110.58;113.64;111.62;97.43;109.36;107.22
171;130.93;99.39;220.55;146.14;147.99;114.44;102.32;114.47;91.88;112.22;113.75;111.62;97.47;109.48;107.55
172;129.88;98.96;214.36;146.2;148.31;114.36;101.16;114.19;91.63;112.97;113.46;111.93;97.1;109.4;107.23
173;132.46;100.22;217.12;149.19;153.18;115.73;100.48;114.63;93.55;114.36;115.01;114.28;96.81;109.03;107.38
174;126.79;100.22;209.12;148.31;150.79;115.13;100.92;114.7;93.86;113.84;114.34;114.35;95.5;106.56;107.72
175;127.81;99.99;207.91;149.18;151.87;115.47;99.88;109.73;92.92;114.03;114.39;115.08;95.0;108.02;107.99
176;128.54;99.59;206.31;148.71;150.43;115.66;99.67;107.45;93.33;113.65;114.02;114.55;94.92;107.76;106.86
177;128.9;99.13;208.57;148.9;149.6;115.82;99.65;107.63;92.99;112.28;113.69;114.15;94.19;107.64;107.28
178;125.27;98.93;208.19;148.35;149.27;115.69;100.28;107.14;91.31;110.07;113.43;114.28;93.68;101.84;107.37
179;122.8;98.46;208.15;148.01;149.86;115.88;100.37;106.84;92.03;110.5;113.52;114.76;93.21;99.82;107.6
180;124.04;100.52;209.37;148.5;149.39;116.69;100.71;106.58;91.96;111.08;113.89;115.03;93.08;98.22;107.28
181;124.48;99.13;215.14;148.56;149.52;117.18;100.5;106.05;91.75;109.81;113.93;115.18;93.21;98.04;106.16
182;123.43;98.07;214.99;148.34;149.76;116.45;101.6;106.49;91.26;107.81;113.55;114.59;93.17;96.66;106.55
183;125.45;98.8;216.62;149.91;150.12;116.93;101.4;107.33;92.4;109.34;114.5;114.85;93.03;98.97;106.94
184;124.76;98.76;219.28;150.15;149.98;117.09;101.2;107.67;92.48;108.31;114.31;115.5;95.08;98.74;105.69
185;124.84;99.19;224.05;149.41;148.4;117.35;100.41;108.15;92.4;108.13;114.16;115.86;95.33;98.8;105.33
186;128.19;98.73;231.19;150.97;147.34;115.97;100.54;107.91;92.4;108.11;113.93;115.47;95.63;97.67;105.64
187;124.2;97.57;223.71;149.25;143.02;114.52;100.43;107.49;92.21;108.5;112.52;115.24;96.6;95.89;105.69
188;124.2;98.03;228.28;150.93;143.25;115.11;100.93;108.07;92.13;108.85;112.73;115.07;96.84;97.31;104.96
189;123.93;98.33;226.21;150.4;143.02;115.56;100.37;107.56;92.24;108.32;112.61;115.94;96.66;96.62;105.18
190;123.82;98.66;227.01;150.1;142.86;115.99;100.01;107.0;91.53;108.44;112.52;115.67;96.76;97.16;105.24
191;122.96;97.73;228.66;150.36;142.77;115.67;100.08;107.08;91.55;106.73;112.4;115.59;97.32;96.68;104.6
192;124.9;98.33;227.47;153.47;145.0;115.89;101.03;107.48;92.22;107.62;113.22;116.25;97.31;97.97;104.49
193;124.78;98.53;226.73;153.81;144.46;115.97;101.63;107.91;92.42;108.53;113.34;116.78;97.16;100.28;104.91
194;125.26;99.16;231.09;153.61;145.7;115.75;102.85;108.2;94.32;108.23;113.67;117.25;96.51;101.99;105.48
195;124.64;98.93;230.09;153.32;143.76;115.57;103.56;108.07;92.41;107.82;113.42;118.01;96.69;102.49;106.19
196;123.98;99.19;228.93;153.36;143.23;116.21;103.2;107.43;92.48;108.25;113.23;117.17;96.96;101.76;106.38
197;126.48;99.66;212.88;154.51;143.71;115.45;103.46;107.79;92.82;109.12;113.29;117.52;97.29;103.36;106.36
198;126.63;99.49;211.29;153.71;141.87;115.78;102.94;107.63;93.0;109.1;112.95;117.3;96.54;103.61;106.26
199;128.75;99.36;212.84;153.32;142.34;115.86;102.62;109.57;93.54;109.75;113.16;117.98;96.92;104.72;106.34
200;128.35;99.56;211.93;152.98;141.85;115.4;104.74;109.96;93.26;109.32;113.07;118.3;97.23;105.81;106.62
201;130.53;99.63;206.52;152.8;141.36;115.56;104.97;110.35;93.67;109.89;113.15;117.66;96.98;107.51;107.25
202;130.47;99.73;207.26;151.16;141.11;115.54;105.5;109.97;93.35;109.43;112.99;117.53;98.54;108.16;107.09
203;127.46;98.83;205.55;151.34;140.57;115.32;105.51;109.67;93.49;109.43;112.56;117.52;98.86;107.58;106.95
204;125.1;98.13;201.7;150.54;138.92;115.57;105.1;108.81;92.05;106.55;111.79;116.83;99.68;107.72;106.36
205;126.83;99.06;209.73;150.7;140.17;116.69;106.16;109.65;91.33;106.13;112.43;114.96;100.13;106.16;106.62
206;125.6;99.59;210.55;150.14;139.02;116.71;106.42;109.6;90.7;104.67;112.24;115.27;99.33;102.17;105.78
207;128.25;100.49;213.89;152.02;140.81;118.53;107.47;109.66;91.28;105.32;113.08;116.98;99.37;101.82;105.92
208;127.79;98.1;214.78;151.84;139.12;118.53;107.67;110.06;90.92;105.33;112.74;116.55;99.8;100.51;105.92
209;131.17;98.1;217.46;153.3;144.02;119.44;107.44;111.06;91.4;106.38;113.96;121.38;98.9;99.72;104.37
210;141.48;97.77;221.24;154.25;145.27;119.78;107.83;111.29;92.1;107.18;114.66;121.59;98.11;100.38;104.46
211;141.8;97.14;219.72;153.34;145.55;119.41;108.37;113.94;91.72;106.53;114.6;121.82;97.84;100.51;103.85
212;139.12;96.54;223.14;153.46;144.2;119.12;108.39;114.36;91.57;105.91;114.67;121.45;97.96;99.19;104.03
213;138.55;96.24;220.31;153.31;143.2;118.63;108.01;114.41;92.01;107.15;114.45;121.35;98.15;99.92;104.46
214;137.53;96.24;218.58;157.43;142.38;120.34;108.5;115.1;92.46;105.8;114.78;122.19;97.29;96.54;104.03
215;137.57;97.04;220.21;156.95;143.2;120.21;108.85;115.89;93.19;107.17;114.63;122.12;96.62;96.86;103.78
216;134.66;96.94;219.36;156.39;143.36;120.45;109.68;117.59;91.99;105.25;114.7;123.77;95.08;92.2;104.23
217;135.0;97.0;219.38;158.98;143.2;119.76;109.91;116.14;92.42;106.24;115.17;125.15;94.95;93.62;103.35
218;134.63;96.51;217.08;163.3;143.36;119.54;109.36;115.76;93.4;107.13;115.17;124.01;94.98;94.04;103.5
219;134.53;96.04;217.44;164.35;142.79;119.64;110.23;115.79;92.75;105.52;115.06;124.36;94.13;92.93;103.86
220;135.97;95.28;256.2;163.57;143.91;119.96;110.93;115.23;93.17;106.95;115.19;124.41;94.36;95.87;104.25
221;136.83;95.84;267.21;164.98;143.46;119.77;110.11;115.17;93.97;106.66;114.94;124.02;94.78;96.88;104.4
222;136.45;93.85;270.14;167.29;143.07;120.59;109.5;114.91;93.9;106.41;114.77;124.53;95.05;96.9;104.46
